Date,Open,High,Low,Close,Adj Close,Volume
2022-03-21,1836.050049,1841.900024,1796.150024,1802.949951,1802.183838,1081052
2022-03-22,1802.949951,1837.000000,1790.000000,1831.550049,1830.771729,964066
2022-03-23,1848.050049,1848.050049,1800.849976,1811.000000,1810.230469,1553366
2022-03-24,1815.000000,1839.550049,1800.150024,1832.800049,1832.021240,1030145
2022-03-25,1835.550049,1878.000000,1822.000000,1867.000000,1866.206665,1366115
2022-03-28,1876.900024,1924.400024,1851.050049,1909.699951,1908.888428,1895438
2022-03-29,1919.250000,1930.900024,1885.500000,1917.250000,1916.435303,1715098
2022-03-30,1927.699951,2015.000000,1917.300049,1995.250000,1994.402222,3215951
2022-03-31,2005.000000,2042.000000,1991.000000,2014.750000,2013.893921,2786973
2022-04-01,2018.000000,2049.000000,2013.050049,2043.650024,2042.781616,1267111
2022-04-04,2050.000000,2075.500000,2032.000000,2065.850098,2064.972168,1334265
2022-04-05,2078.000000,2189.800049,2067.600098,2139.850098,2138.940918,4970260
2022-04-06,2153.750000,2182.850098,2124.199951,2160.000000,2159.082275,2259018
2022-04-07,2165.949951,2214.949951,2081.250000,2099.050049,2098.158203,3499044
2022-04-08,2115.000000,2176.000000,2105.250000,2170.949951,2170.027588,1924054
2022-04-11,2181.850098,2200.000000,2158.500000,2180.199951,2179.273438,1615715
2022-04-12,2188.000000,2219.000000,2155.000000,2196.949951,2196.016357,2632324
2022-04-13,2210.000000,2217.149902,2173.449951,2199.449951,2198.515381,992512
2022-04-18,2179.800049,2240.000000,2156.750000,2233.850098,2232.900879,1747434
2022-04-19,2245.000000,2255.000000,2140.100098,2168.300049,2167.378662,1639219
2022-04-20,2178.000000,2207.949951,2161.899902,2183.949951,2183.021973,1119025
2022-04-21,2216.000000,2293.550049,2203.899902,2286.350098,2285.378662,2243636
2022-04-22,2297.000000,2306.000000,2265.000000,2273.300049,2272.333984,1786042
2022-04-25,2259.949951,2295.000000,2242.600098,2284.199951,2283.229248,1683622
2022-04-26,2297.000000,2413.899902,2295.100098,2395.300049,2394.282227,3199358
2022-04-27,2404.949951,2420.949951,2325.000000,2334.100098,2333.108398,2559876
2022-04-28,2359.850098,2389.899902,2336.300049,2378.550049,2377.539307,1679893
2022-04-29,2389.000000,2394.149902,2301.500000,2332.000000,2331.009033,1916180
2022-05-02,2325.000000,2362.300049,2311.000000,2339.500000,2338.505859,1006544
2022-05-04,2358.699951,2362.899902,2233.050049,2253.800049,2252.842285,1744686
2022-05-05,2270.000000,2303.800049,2236.000000,2255.399902,2254.441650,1636796
2022-05-06,2210.000000,2262.000000,2200.000000,2247.699951,2246.744873,1161579
2022-05-09,2229.500000,2244.199951,2180.000000,2197.649902,2196.716064,1450886
2022-05-10,2190.000000,2220.000000,2097.500000,2109.500000,2108.603516,1471866
2022-05-11,2109.600098,2157.750000,2077.000000,2119.300049,2118.399414,1397917
2022-05-12,2103.000000,2113.600098,2011.050049,2045.199951,2044.330933,1553685
2022-05-13,2084.500000,2135.000000,2035.300049,2054.149902,2053.277100,1547617
2022-05-16,2082.649902,2141.949951,2057.649902,2105.899902,2105.005127,1742552
2022-05-17,2133.050049,2192.250000,2119.399902,2184.850098,2183.921631,1061085
2022-05-18,2199.699951,2216.899902,2172.000000,2181.100098,2180.173340,1296983
2022-05-19,2145.000000,2154.750000,2097.600098,2114.750000,2113.851318,986930
2022-05-20,2159.000000,2232.399902,2151.000000,2219.550049,2218.606934,1444803
2022-05-23,2231.750000,2245.000000,2155.649902,2170.649902,2169.727539,1455450
2022-05-24,2161.000000,2178.899902,2142.550049,2160.199951,2159.281982,1008943
2022-05-25,2168.000000,2181.449951,2066.199951,2074.149902,2073.268555,1382448
2022-05-26,2077.000000,2088.000000,1906.199951,2046.400024,2045.530518,4967514
2022-05-27,2080.000000,2094.300049,2047.699951,2080.149902,2079.266113,1354005
2022-05-30,2120.000000,2175.000000,2102.000000,2165.649902,2164.729736,1384584
2022-05-31,2160.000000,2225.800049,2150.399902,2167.550049,2166.628906,2861556
2022-06-01,2169.949951,2189.300049,2126.000000,2150.899902,2149.985840,1448212
2022-06-02,2155.000000,2218.000000,2142.300049,2209.399902,2208.461182,1855167
2022-06-03,2235.000000,2242.250000,2176.050049,2190.000000,2189.069336,1651685
2022-06-06,2188.500000,2230.000000,2168.199951,2225.050049,2224.104492,1664487
2022-06-07,2210.000000,2254.699951,2207.050049,2227.550049,2226.603516,2046676
2022-06-08,2244.949951,2244.949951,2158.550049,2177.199951,2176.274902,1530739
2022-06-09,2160.300049,2224.000000,2155.000000,2219.199951,2218.257080,1440385
2022-06-10,2190.000000,2215.000000,2171.000000,2203.100098,2202.164063,1305761
2022-06-13,2172.500000,2172.500000,2066.750000,2079.750000,2078.866211,1764172
2022-06-14,2274.000000,2274.000000,2053.100098,2196.449951,2195.516602,6515102
2022-06-15,2218.399902,2219.699951,2174.199951,2184.600098,2183.671875,1313510
2022-06-16,2205.000000,2217.300049,2076.050049,2083.000000,2082.114990,2131789
2022-06-17,2062.000000,2137.399902,2060.149902,2095.800049,2094.909424,2280135
2022-06-20,2107.300049,2123.300049,2025.000000,2079.850098,2078.966309,2603594
2022-06-21,2100.000000,2177.000000,2091.649902,2161.800049,2160.881348,1331500
2022-06-22,2149.949951,2149.949951,2077.100098,2089.199951,2088.312256,1774137
2022-06-23,2105.000000,2128.000000,2080.000000,2110.350098,2109.453369,1026783
2022-06-24,2121.000000,2168.000000,2108.600098,2161.449951,2160.531494,1156536
2022-06-27,2189.000000,2211.000000,2169.350098,2181.600098,2180.673096,1202504
2022-06-28,2170.000000,2210.250000,2160.000000,2204.600098,2203.663330,1282047
2022-06-29,2185.000000,2247.800049,2177.199951,2220.100098,2219.156738,1692493
2022-06-30,2220.000000,2248.500000,2180.500000,2190.899902,2189.968994,1568415
2022-07-01,2189.899902,2242.000000,2138.250000,2232.199951,2231.251465,2141743
2022-07-04,2232.199951,2277.000000,2228.350098,2261.850098,2260.888916,1581159
2022-07-05,2264.000000,2290.699951,2238.000000,2246.449951,2245.495361,1356776
2022-07-06,2245.000000,2277.000000,2236.500000,2272.850098,2271.884277,1045463
2022-07-07,2280.000000,2294.949951,2256.000000,2274.300049,2273.333740,946131
2022-07-08,2286.000000,2303.600098,2263.899902,2293.050049,2292.075684,898576
2022-07-11,2293.050049,2384.600098,2291.050049,2373.250000,2372.241455,1967308
2022-07-12,2364.399902,2389.800049,2350.149902,2365.649902,2364.644775,1273008
2022-07-13,2373.500000,2384.649902,2333.699951,2353.500000,2352.500000,982185
2022-07-14,2365.000000,2404.000000,2336.500000,2383.100098,2383.100098,933554
2022-07-15,2414.500000,2422.949951,2377.000000,2405.250000,2405.250000,1169788
2022-07-18,2424.000000,2441.850098,2406.050049,2423.600098,2423.600098,937204
2022-07-19,2406.949951,2459.300049,2405.000000,2451.300049,2451.300049,843301
2022-07-20,2462.000000,2472.800049,2444.000000,2451.100098,2451.100098,693601
2022-07-21,2453.800049,2498.949951,2451.250000,2495.500000,2495.500000,1314165
2022-07-22,2505.500000,2514.050049,2483.100098,2499.399902,2499.399902,833522
2022-07-25,2505.000000,2562.149902,2500.000000,2550.600098,2550.600098,1220351
2022-07-26,2555.000000,2568.600098,2533.000000,2559.699951,2559.699951,865142
2022-07-27,2560.000000,2572.500000,2528.000000,2548.699951,2548.699951,953588
2022-07-28,2559.899902,2565.649902,2531.600098,2550.399902,2550.399902,759442
2022-07-29,2565.000000,2622.000000,2560.000000,2569.199951,2569.199951,1107195
2022-08-01,2575.850098,2669.399902,2569.199951,2660.149902,2660.149902,1267039
2022-08-02,2660.000000,2697.000000,2640.000000,2683.649902,2683.649902,1096480
2022-08-03,2685.000000,2717.000000,2671.199951,2711.399902,2711.399902,815831
2022-08-04,2725.000000,2743.899902,2684.250000,2723.600098,2723.600098,1223799
2022-08-05,2760.000000,2767.649902,2685.000000,2698.399902,2698.399902,1639981
2022-08-08,2700.000000,2807.649902,2695.649902,2791.899902,2791.899902,1581696
2022-08-10,2801.750000,2834.899902,2781.550049,2827.199951,2827.199951,1304663
2022-08-11,2841.000000,2848.399902,2815.100098,2834.050049,2834.050049,978616
2022-08-12,2840.000000,2871.149902,2834.050049,2864.550049,2864.550049,843025
2022-08-16,2879.000000,2986.000000,2871.000000,2975.850098,2975.850098,1969492
2022-08-17,2986.000000,3028.550049,2980.000000,3008.649902,3008.649902,1510171
2022-08-18,3005.000000,3186.000000,3004.000000,3153.649902,3153.649902,3502295
2022-08-19,3178.000000,3258.899902,3075.250000,3130.199951,3130.199951,6109949
2022-08-22,3134.000000,3191.800049,3029.199951,3051.600098,3051.600098,3473580
2022-08-23,3032.649902,3074.000000,2927.399902,3030.649902,3030.649902,4169136
2022-08-24,3038.000000,3153.000000,2986.000000,3134.649902,3134.649902,3475387
2022-08-25,3167.000000,3177.800049,3055.699951,3066.350098,3066.350098,3119494
2022-08-26,3080.000000,3172.949951,3078.000000,3139.550049,3139.550049,2897602
2022-08-29,3055.000000,3166.449951,3037.850098,3142.600098,3142.600098,1924984
2022-08-30,3165.000000,3263.100098,3161.000000,3194.350098,3194.350098,4392183
2022-09-01,3200.000000,3245.000000,3184.399902,3233.250000,3233.250000,1880363
2022-09-02,3261.000000,3369.399902,3225.000000,3355.800049,3355.800049,4835905
2022-09-05,3374.100098,3431.800049,3313.000000,3346.550049,3346.550049,3686950
2022-09-06,3370.000000,3447.600098,3355.000000,3435.800049,3435.800049,2580772
2022-09-07,3435.800049,3487.949951,3406.100098,3473.750000,3473.750000,2188110
2022-09-08,3499.000000,3501.500000,3450.000000,3462.800049,3462.800049,1560414
